text_id,brand_id,brand_name,segment,country,source_type,page_name ,category,year_range,text,url,data_collected
rolex_001,rolex,Rolex,luxury_watch,Switzerland,website_copy,history,heritage_legacy,1905-1919,"The history of Rolex is inextricably linked to the visionary spirit of Hans Wilsdorf, its founder. In 1905, at the age of 24, Hans Wilsdorf founded a company in London specializing in the distribution of timepieces. He began to dream of a watch worn on the wrist. Wristwatches were not very precise at the time, but Hans Wilsdorf foresaw that they could become not only elegant, but also reliable.

To convince the public of the reliability of his resolutely innovative timepieces, he equipped them with small, very precise movements manufactured by a Swiss watchmaking company in Bienne.",https://www.rolex.com/about-rolex/history/1905-1919,2026-02-09
rolex_002,rolex,Rolex,luxury_watch,Switzerland,website_copy,history,engineering_precision,1910-1914,"Rolex first concentrated on the quality of the movements. The relentless quest for chronometric precision rapidly led to success. In 1910, a Rolex watch was the first wristwatch in the world to receive the Swiss Certificate of Chronometric Precision, granted by the Official Watch Rating Centre in Bienne.",https://www.rolex.com/about-rolex/history/1905-1919,2026-02-09
rolex_003,rolex,Rolex,luxury_watch,Switzerland,website_copy,history,engineering_precision,1914,"Four years later, in 1914, Kew Observatory in Great Britain awarded a Rolex wristwatch a class “A” precision certificate, a distinction which until that point in time had been reserved exclusively for marine chronometers. From that date forward, the Rolex wristwatch was synonymous with precision.",https://www.rolex.com/about-rolex/history/1905-1919,2026-02-09
rolex_004,rolex ,Rolex,luxury_watch,Switzerland,website_copy,watchmaking features,craftsmanship,1930s-modern,"This is the Oyster bracelet, with its unique and exceedingly robust three-piece links. It is the mark of foundational values and alliances found in all our work: those of function and form, rigour and fluidity, comfort and elegance.Developed in the late 1930s, it epitomizes the original intuition of Hans Wilsdorf, who foresaw the wristwatch as a tool capable of meeting the complexities of an increasingly modern world. Rolex did not only develop watch calibres which surpassed the standards of watchmaking. It created new ones for the bracelet and gave it its own identity and language. Hence, the Oyster bracelet does not simply adapt to one’s movement. It carries its own.",https://www.rolex.com/watchmaking/features/bracelets,2026-02-09
rolex_005,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,innovation,1926,"The Oyster case, the fruit of these efforts, was patented four years later in 1926. A system of screwing down the bezel, case back and winding crown against the middle case ensured that the case was hermetically sealed and protected the inside of the watch from harmful elements on the outside. Hans Wilsdorf chose to call the watch – as well as its case – the “Oyster” because of the fact that “like an oyster, it can remain an unlimited time underwater without detriment to its parts.” This invention marked a major breakthrough in the history of watchmaking.",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproofness,2026-02-12
rolex_006,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,innovation,1953-1970,"The crown on the original Oyster case screwed down onto the middle case. In 1953, Rolex introduced the Twinlock winding crown, which incorporated a patented system with a double seal. The principle was taken a step further in 1970: the Triplock winding crown, comprising an additional sealed zone, reinforced the waterproofness of the watches on which it was fitted – among them its models designed for diving.",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproofness,2026-02-12
rolex_007,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,iconic models/innovation,1953,"Just as changing lifestyles prompted Rolex to invent a waterproof case, the brand next turned its attention to the design and development of wristwatches that met the needs of the new deep-sea diving professionals. In 1953, the Submariner was created: the first divers’ wristwatch guaranteed waterproof to a depth of 100 metres (330 feet). Its rotatable bezel with a graduated insert allowed divers to monitor their time underwater, helping them manage their breathing gas reserves.",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproofness,2026-02-12
rolex_008,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,innovation,1954-1989," The security of the Oyster case was enhanced thanks to a new screw-down winding crown with the Twinlock system, benefitting from two sealed zones. In 1970, the principle was further developed with the introduction of a third sealed zone, and the Triplock winding crown was born. The hands and hour markers were coated with a luminescent material, enabling divers to read the time in the dark conditions underwater. Rolex went on to make further technical advances that rendered the Submariner waterproof to a depth of 200 metres (660 feet) in 1954, and 300 metres (1,000 feet) in 1989",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproofness,2026-02-12
rolex_009,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,innovation+exploration,1960,"Certain sub-aquatic scientific projects and expeditions also presented ideal opportunities for Rolex to test its watches in real-life conditions. In 1960, the brand teamed up with one such project, an expedition led by Swiss oceanographer Jacques Piccard and U.S. Navy Lieutenant Don Walsh. On 23 January, on board the bathyscaphe Trieste – designed by Jacques’ father, Auguste Piccard, a Swiss physicist and explorer with whom Rolex had worked since the early 1950s – Piccard and Walsh achieved a feat by descending to the deepest part of the world’s oceans, the Mariana Trench in the Pacific Ocean.",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproof,2026-02-012
rolex_010,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,Technical validation,1960,"Affixed to the outside of the submersible was an experimental Rolex watch called the Deep Sea Special, which accompanied the two men to the extreme depth of 10,916 metres (35,814 feet). The domed crystal on this prototype was designed to withstand the enormous pressure exerted at such a depth. When the Trieste resurfaced after some eight and a half hours under the sea, the watch was found to have kept perfect time, which validated the technical choices made by the brand during its design.",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproofness,2026-02-12
rolex_011,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,craftsmanship,1953-present,"Rolex was one of the first brands to accompany exceptional individuals in their ventures and explorations. Aware of the mutual benefit to both parties and seeing the world as a living laboratory, Hans Wilsdorf equipped them on their expeditions with Oyster watches. To test the reliability of its timepieces, Rolex asked professional divers to wear them on their missions, afterwards gathering impressions and suggestions for ergonomic or technical improvements. This procedure became an integral part of the Rolex development process.",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproofness,2026-02-12
rolex_012,rolex,Rolex,luxury_watch,Switzerland,website_copy,mastering waterproofness,innovation,1953,"Among the people Rolex worked with to test the Submariner was French underwater photographer, engineer and explorer Dimitri Rebikoff. In testing the watch, over five months Rebikoff carried out 132 dives, which took him to depths of between 12 and 60 metres. His report was very positive: “We are able to confirm that this watch has not only given entire satisfaction in diving conditions which were extremely tough and particularly dangerous for the material used, but that it has proved an indispensable accessory for all diving with independent equipment.” ",https://www.rolex.com/about-rolex/behind-the-crown/mastering-waterproofness,2026-02-12
rolex_013,rolex,Rolex,luxury_watch,Switzerland,website_copy,reference points/rolex submariner,design evolution,1953,"Looking at the reference 6204, you can clearly tell that the watch is a Submariner, but a number of the key traits are slightly different. First off, the case is still relatively thin compared to later models. Combined with the very small 5.3mm crown, this watch is believed to have been water resistant to 100 meters, though there is one known early advertisement out there that claims a 200m depth rating. There's also the bezel, which is a bit bolder in style, without smaller graduations between zero and 15. ",https://www.hodinkee.com/articles/rolex-submariner-reference-points,2026-02-12
rolex_014,rolex,Rolex,luxury_watch,Switzerland,website_copy,reference points/rolex submariner,innovation,1953,"These early 6204s were powered by the Rolex caliber A260, which was repurposed from earlier Oyster Perpetual models, including a number of later bubblebacks. It was the most robust automatic movement Rolex had at the time, with built in shock protection, making it the right fit for the fledgeling Submariner.",https://www.hodinkee.com/articles/rolex-submariner-reference-points,2026-02-12
rolex_015,rolex,Rolex,luxury_watch,Switzerland,website_copy,reference points/rolex submariner,history,1953,"This is it: The very first watch to say ""Submariner"" on the dial. Typical literature will tell you that the Submariner was first launched in 1954, but that's just when Rolex officially announced the watch and started marketing it. These earliest pieces are actually dated to late 1953 by serial number and the stamp on the inside caseback, with the earliest pieces showing ""II.53"" production timing",https://www.hodinkee.com/articles/rolex-submariner-reference-points,2026-02-12
rolex_016,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/air-king,product_description,2016-present,"Immediately recognizable with its large 3, 6 and 9 hour markers, combined with a prominent minutes scale, the Oyster Perpetual Air-King embodies the ties Rolex has forged with the world of aviation since the 1930s. Robust and precise, the watch pays tribute to the daring pioneers of airborne adventure. Its unique face recalls a shared history marked by records and achievements. Through this aeronautical inspiration, the Air-King encourages each of us to release our adventurous spirit and reach for the sky.",https://www.rolex.com/watches/air-king,2026-03-19
rolex_017,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/cosmograph_daytona/features,product_description,2016-present,"Precision, robustness and endurance. The Oyster Perpetual Cosmograph Daytona is a distillation of innovations dedicated to timekeeping. With its high-performance movement, advanced materials and various combinations of materials and colours, it has continued to evolve over time while remaining true to its original design. It is the ultimate modern chronograph – one worthy of all superlatives.",https://www.rolex.com/watches/cosmograph-daytona/features,2026-03-19
rolex_018,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/datejust/features,product_description,2016-present,"The Datejust owes its name to the date display window on the dial. Like the time, the date was traditionally indicated by a hand on the circumference of the dial. In 1945, this made the Datejust the first waterproof self-winding chronometer wristwatch to show the date in numbers with a window at 3 o’clock on the dial. Before becoming a watchmaking standard, this type of display was seen as a major breakthrough. It works by fitting the calibre with a 31-day disc and a mechanism allowing it to turn at midnight.",https://www.rolex.com/watches/datejust/features,2026-03-19
rolex_019,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/lady_datejust/features,product_description,2016-present,"The Lady-Datejust offers so many choices that wearers can always find one to reflect their personality. It is available in Oystersteel, in 18 ct yellow, white or Everose gold, or in Rolesor versions that combine Oystersteel and one of three varieties of gold (white, yellow and Everose).",https://www.rolex.com/watches/lady-datejust/features,2026-03-19
rolex_020,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/day_date,product_description,2016-present,"Available exclusively in precious metals, the Oyster Perpetual Day-Date displays the date and the day of the week spelt out in full, in two separate windows. Since 1956, it has accompanied visionaries, virtuosos and great champions who have stood the test of time.",https://www.rolex.com/watches/day-date,2026-03-19
rolex_021,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/explorer,product_description,2016-present,"Since the 1930s, Rolex has been able to test its models in real conditions by equipping polar and mountaineering expeditions. The Oyster Perpetual Explorer and Oyster Perpetual Explorer II evolved from the brand’s deep involvement with exploration. Robust, reliable and accurate, these watches are capable of going where few dare to tread.",https://www.rolex.com/watches/explorer,2026-03-19
rolex_022,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/gmt_master_ii,product_description,2016-present,"The GMT-Master II is the ultimate cosmopolitan watch, connecting people across distances and time zones. With a dedicated 24-hour hand and a 24-hour graduated two-colour rotatable bezel, it displays a second time zone in addition to the conventional time. At a glance, the wearer can see the time in their current location and in another part of the world, giving them a strengthened connection with their own personal ‘somewhere out there’, be it a special place or memory, or plans for a future journey.",https://www.rolex.com/watches/gmt-master-ii,2026-03-19
rolex_023,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/land_dweller/features,product_description,2025-present,"A calibre with a high frequency of 5 hertz that integrates unprecedented innovations, including a revolutionary regulating system. A design that reinterprets the codes of integrated bracelet watches through the lens of modernity. The Oyster Perpetual Land‑Dweller is a true watchmaking feat that paves the way for Rolex's future.",https://www.rolex.com/watches/land-dweller/features,2026-03-19
rolex_024,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/oyester_perpetual/features,product_description,2016-present,"Carrying Superlative Chronometer certification, exclusively crafted from Oystersteel, equipped with an understated dial and a movement powering three central hands, the Oyster Perpetual embodies Rolex’s vision of the quintessential wristwatch.",https://www.rolex.com/watches/oyster-perpetual/features,2026-03-19
rolex_025,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/sea_dweller,product_description,2016-present,"Rolex created the Oyster Perpetual Sea‑Dweller in 1967 to meet the challenge of prolonged underwater missions. Subsequently improved in close partnership with Comex (Compagnie Maritime d'Expertises) professionals, it is now waterproof to 1,220 metres (4,000 feet). The Sea‑Dweller is specifically designed for saturation diving. Thanks to its helium escape valve, it can withstand decompression on ascent and master the return to the surface – the final phase of deep-sea exploration.",https://www.rolex.com/watches/sea-dweller,2026-03-19
rolex_026,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/deepsea/deepsea,product_description,2016-present,"Since 2008, the Oyster Perpetual Rolex Deepsea has continued the history of Rolex watches devised for deep-sea exploration. It is fitted with the Ringlock system and is waterproof to 3,900 metres (12,800 feet), a depth at which no human can survive while scuba diving. In this way, Rolex pushes its own technical limits with a watch as durable as the submersibles that descend to the abyss. Its unidirectional rotatable bezel with a 60-minute graduated Cerachrom insert, Chromalight display and reinforced waterproofness, make it the ideal companion for the heroic divers who defy extreme depths.",https://www.rolex.com/watches/deepsea/deepsea,2026-03-19
rolex_027,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/sky_dweller,product_description,2016-present,"The Oyster Perpetual Sky‑Dweller was designed for those continually travelling the globe. Featuring our Saros annual calendar and Ring Command system, it simultaneously indicates two time zones, as well as the date and month, and allows them to be adjusted with one simple gesture. Since its creation in 2012, the Sky‑Dweller has been an invaluable tool for avoiding the pitfalls of time differences and making it possible to plan ahead. With this technical and elegant watch, wherever you travel, you are in sync with the world.",https://www.rolex.com/watches/sky-dweller,2026-03-19
rolex_028,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/submariner/features,product_description,2016-present,"With a case waterproof to a depth of 300 metres (1,000 feet), a unidirectional rotatable bezel graduated over 60 minutes and luminescent display features, the Submariner and Submariner Date both boast essential technical attributes that make them benchmarks in the world of divers’ watches.",https://www.rolex.com/watches/submariner/features,2026-03-19
rolex_029,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/yacht_master/features,product_description,2016-present,Its graduated bidirectional bezel allows for precise measurement and reading of time intervals when navigating. This tool watch benefits from innovations that improve its legibility and wearers’ comfort in all circumstances.,https://www.rolex.com/watches/yacht-master/features,2026-03-19
rolex_030,rolex,Rolex,luxury_watch,Switzerland,website_copy,watches/1908/features,product_description,2023-present,The 1908 combines all the essential attributes of a self-winding wristwatch according to Hans Wilsdorf. It is the sum of these fundamental characteristics that makes it an integral part of the Rolex watchmaking identity and a timepiece of exceptional qualities.,https://www.rolex.com/watches/1908/features,2026-03-19
rolex_031,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/yacht_master post,advertisement_copy,2020-present,"The Yacht-Master. Light enough to race, tough enough to win.",https://www.instagram.com/p/DWEmHdTifmd/,2026-03-21
rolex_032,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/campaign post,advertisement_copy,2020-present,REACH FOR THE CROWN.,https://www.instagram.com/p/DV2wop9CaSD/,2026-03-21
rolex_033,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/yacht_master post,advertisement_copy,2020-present,"The Yacht-Master. Hands on deck, Oysterflex on the wrist. ",https://www.instagram.com/p/DVwADQZCQN2/,2026-03-21
rolex_034,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/1908 post,advertisement_copy,2020-present,"This is our Dualclasp. Crafted exclusively in precious metal, it is designed solely for the leather strap of our 1908 model.",https://www.instagram.com/p/DVRN44kiSOw/?img_index=1,2026-03-21
rolex_035,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/land_dweller post,advertisement_copy,2020-present,A new year rises. Precision in purpose and elegance in motion.,https://www.instagram.com/p/DU0bl9CCcaA/,2026-03-21
rolex_036,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/rolex_family_post,advertisement_copy,2020-present,"It is our pleasure to welcome tennis player @vickymboko, racing driver @nyckdevries, show jumper @gillesthomas_, padel player @arturocoello__ and wildlife filmmaker @bertiegregory to the Rolex family. These remarkable individuals make up the newest generation of our Testimonees who take on every challenge to achieve excellence.",https://www.instagram.com/p/DUYFaxIibgp/?img_index=1,2026-03-21
rolex_037,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/1908 post,advertisement_copy,2023-present,"The 1908. A tribute to the past, a salute to the future. Inspired by one of the first Rolex watches with a Perpetual rotor. With a transparent case back showcasing some of our most modern technologies. Calibre 7140 with Syloxi hairspring, Chronergy escapement and Paraflex shock absorbers. Part domed and part finely fluted bezel. In 18ct white gold, 39mm.",https://www.instagram.com/p/DUWFivLkrk-/,2026-03-21
rolex_038,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/sports_event_post,advertisement_copy,2020-present,"Phenomenal, @carlitosalcarazz. A resounding first @australianopen victory to complete a Career Grand Slam®. This crown is yours.",https://www.instagram.com/p/DUN6qe2CQjF/?img_index=1,2026-03-21
rolex_039,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/day_date post,advertisement_copy,2020-present,"The Day-Date. A horological miracle. The first self-winding waterproof wristwatch to display the date and day of the week spelt out in full. At midnight, something is achieved that has come to be known as “the miracle of midnight”, when both the day and date change simultaneously. Mother-of-pearl dial with diamond hour markers and bezel set with trapeze-cut diamonds. 18ct white gold, 36mm, calibre 3255.",https://www.instagram.com/p/DUGeEMfCW2W/,2026-03-21
rolex_040,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/material_post,advertisement_copy,2020-present,"This is our 18 ct white gold. Made from yellow gold, palladium and other elements in exclusive proportions, this robust and precious alloy graces certain of our Classic and Professional watches with its warm radiance. Its hue is a discreet mark of distinction, and the finishing operations enhance its surface. Above all, it is its presence on the wrist that offers the wearer a sensation unlike any other. Never ostentatious, our 18 ct white gold reveals an intrinsic quality that is felt rather than seen.",https://www.instagram.com/p/DUD9x0vklAt/?img_index=1,2026-03-21
rolex_041,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/daytona_ post,advertisement_copy,2020-present,"The Cosmograph Daytona. The ultimate racing watch. With its tachymetric scale for reading average speeds up to 400 units per hour. Bright black and steel dial with contrasting chronograph counters. And Oyster bracelet with Oysterlock safety clasp built to remain secure, lap after lap. 40mm, 18ct white gold, calibre 4131.",https://www.instagram.com/p/DT0iuQxErAo/,2026-03-21
rolex_042,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/lady_datejust_post,advertisement_copy,2020-present,"The Lady-Datejust. Setting the tempo centre stage. Pink, sunray-finish dial with diamond-set hour markers. Bezel adorned with 44 brilliant-cut diamonds. Prestigious President bracelet with concealed Crownclasp. In 18ct white gold cast at our own foundry. 28mm, calibre 2236.",https://www.instagram.com/p/DTsrvqwieyt/,2026-03-21
rolex_043,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/sports_event_post,advertisement_copy,2020-present,"The @australianopen. Fun but ferocious. The springboard for every new season, bringing together all tennis lovers. A culture shaped by nail-biting play, enhanced by state-of-the-art facilities and emboldened by a joyous communal atmosphere. What made “the AO” one of the greats is decades of astute, innovative leadership. We are proud to be the Official Timekeeper of this exceptional experience.",https://www.instagram.com/p/DToPAmGk26S/,2026-03-21
rolex_044,rolex,Rolex,luxury_watch,Switzerland,social_media,instagram/rolex_arts_post,advertisement_copy,2020-present,"Masterfully fostering the arts. From Leonardo DiCaprio’s captivating presence on screen to the remarkable Rolex Ambassadors Concert in Paris, from Gilberto Gil’s unforgettable farewell tour to James Cameron’s compelling storytelling, we celebrate the visionary talents and cultural moments that shaped and united us in 2025.",https://www.instagram.com/p/DTkUOfaCQ-Z/?img_index=1,2026-03-21
